main_address,primary_building_name
292 Madison Ave,
295 Lafayette St,The Puck Building
299 Park Ave,
3 E 28th St,
3 E 54th St,
3 Times Square,The Reuters Building
3 W 35th St,
30 Broad St,The Continental Bank Building
30 E 33rd St,
30 Irving Pl,
30 Vesey St,28 Vesey St
30 W 21st St,
30 W 47th St,
302 5th Ave,
303 5th Ave,
304 Park Ave S,The Gramercy Gateway Building
306 E 61st St,The Interior Arts Building
307 5th Ave,
307 W 36th St,
31 E 32nd St,
31 Penn Plaza,PennCom Plaza
31 W 27th St,
315 5th Ave,
315 Hudson St,
315 Park Ave S,The Remington Rand Building
315 W 35th St,The Lofts at Penn Plaza
315 W 39th St,
317 E 34th St,The Medical Arts Center
318 W 39th St,
319 7th Ave,The Seventh Avenue Building
32 Broadway,
32 E 57th St,The Rolls Royce Building
32 Union Square E,
320 5th Ave,The Textile Building
320 W 37th St,
322 7th Ave,Chelsea Center
325 Hudson,
3280 Broadway,
33 E 21st St,
33 E 33rd St,
33 Irving Pl,
330 7th Ave,The Gross Building
330 Madison Ave,The Sperry & Hutchinson Building
330 W 34th St,
330 W 42 St,The McGraw-Hill Building
333 Hudson St,
34 E 51st St,
34 W 14th St,
340 Madison Ave,The Canadian Pacific Building
345 7th Ave,
345 Park Ave,"The Dillon, Read & Company Building"
347 W 36th St,
35 W 37th St,
35 W 39th St,The Haskins & Sells Building
35 W 45th St,
350 Park Ave,The Hanover Bank Building
351 Park Ave S,The Armory Building
352 7th Ave,
352 Madison Ave,
355 Lexington Ave,
358 5th Ave,
36 E 31st St,
360 Lexington Ave,
366 5th Ave,
37 W 26th St,
37 W 57th St,The Vogar Building
370 7th Ave,
370 Lexington Ave,
375 Hudson St,
375 Park Ave,The Seagram Building
38 E 29th St,
38 E 32nd St,
383 Lafayette St,
387 Park Ave S,
389 5th Ave,
39 Broadway,The Harriman Building
39 W 19 St,
39 W 32nd St,
3940 Broadway,Audubon Business & Technology Center
397 5th Ave,
4 Times Square,The Conde Nast Building
40 10th Ave,
40 W 25th St,
40 W 37th St,
400 8th Ave,
400 Lafayette St,
400 Madison Ave,
401 Broadway,
401 Park Ave S,
404 5th Ave,
405 Lexington Ave,The Chrysler Building
408 Broadway,
41 Madison Ave,The Merchandise Mart Building
410 Park Ave,
411 Lafayette St,
4116 9th Ave,
412 W 15th St,413 W 14th Street
416 W 13th St,
42 Broadway,The Empire Trust Building
42 W 38th St,
42 W 39th St,
42 W 48th St,
420 W 45th St,
424 5th Ave,
424 Madison Ave,
425 Lexington Ave,
43 W 34th St,
43 W 36th St,
430 Park Ave,The Bank of Montreal Building
434 Broadway,
434 Park Ave S,The Wiley Building
435 Hudson St,
437 5th Ave,
437 Lexington Ave,
437 Madison Ave,The ITT-American Building
44 Beaver St,
44 E 30th St,
44 E 32nd St,
44 W 28th St,
44 Wall St,
440 9th Ave,
443 Park Ave S,The Stratford House Building
447 7th Ave,The Kaufman Building
447 W 18th St,
45 Broadway,
45 E 20th St,
45 W 27th St,
45 W 45th St,The Hern Building
450 7th Ave,Nelson Tower
450 Park Ave,The Franklin National Bank Building
450 W 31st St,
450-460 Park Ave S,The White House Building
451 Broadway,
452 5th Ave,HSBC Tower
460 Park Ave,The Davies Building
460 W 34th St,The Master Printers Building
461 5th Ave,The Fred F. French Building
461 W 126th St,The Malt House
462 7th Ave,
462 Broadway,
47 9th Ave,
47 W 17th St,
471 Park Ave S,
477 Madison Ave,
48 W 25th St,
48 W 37th St,
48 Wall St,The Bank of New York & Trust Company Building
483 Broadway,
485 Lexington Ave,
485 Madison Ave,
487 7th Ave,
488 Madison Ave,
49 E 52nd St,Tower 49
49 W 23st St,
49 W 37th St,
49 W 38th St,
494 8th Ave,
498 7th Ave,The Garment Center South Building
499 7th Ave,
5 Bryant Park Ave,5 Bryant Park
5 E 38th St,The Cue Building
50 Broadway,
50 W 57th St,
500 7th Ave,
500 Park Ave,500 Park Tower
500 7th Ave,
505 Park Ave,The Aramco Building
51 W 52th St,The CBS Building
511 5th Ave,
515 Greenwich St,
515 Madison Ave,The Du Mont Building
519 8th Ave,
52 Broadway,
52 Chambers St,
52 Duane St,Two Federal Plaza
521 5th Ave,The Lefcourt National Building
527 Madison Ave,
529 5th Ave,
53 W 36th St,
530 7th Ave,The Art Deco Building
530 Broadway,
535 5th Ave,
54 W 21st St,
545 8th Ave,The Bricken Eighth Avenue Building
546 5th Ave,
549 Broadway,The Rouss Building
55 Broad St,
55 Broadway,One Exchange Plaza
55 W 47th St,
550 5th Ave,
550 7th Ave,
550 Madison Ave,Sony Tower
551 Madison Ave,Mellon Financial Center
555 5th Ave,
557 Broadway,The Scholastic Building
56 W 22nd St,
56 W 45th St,
56 W 56th St,The Six
560 Lexington Ave,
561 7th Ave,
568 Broadway,The Havemeyer Building
57 E 11th St,57 East 11
570 Lexington Ave,Tower 570
575 8th Ave,The Baer Building
575 Broadway,
575 Madison Ave,
580 8th Ave,
584 Broadway,
589 5th Ave,
59 Maiden Lane,Home Insurance Plaza
590 5th Ave,
591 Broadway,
592 7th Ave,5 Times Square
592 Broadway,Soho International Arts Center
595 Madison Ave,The Fuller Building
597 5th Ave,The Scribner Building
6 E 32nd St,The Empire Korea Building
6 W 40th St,
60 5th Ave,
60 Broad St,
60 E 56th St,
60 Madison Ave,
60 Wall St,
600 Lexington Ave,
600 Madison Ave,
601 W 26th St,The Starrett-Lehigh Building
608 5th Ave,
61 Broadway,The Adams Express Building
610 Broadway,
615th Ave Of The Americas,
615 W 131st St,The Studebaker Building
619 W 54th St,Hudson Research Center
622 3rd Ave,624 3rd Ave
625 Broadway,
625 Madison Ave,The Revlon Building
63 Madison Ave,New York Life Insurance Company Annex
63 Prince St,
63 W 36th St,
63 W 38th St,
635th Ave Of The Americas,
640 5th Ave,
641 Ave Of The Americas,
